date,player,team,position,PTS,REB,AST
Nov 18,J. Brunson,NY,PG,32,3,8
Nov 18,L. Ball,CHA,PG,34,5,9
Nov 18,K. Towns,MIN,C,29,6,8
Nov 18,B. Ingram,NO,SF,30,7,4
Nov 18,K. Irving,DAL,PG,39,4,6
Nov 18,G. Antetokounmpo,MIL,PF,40,14,7
Nov 18,J. Jackson Jr.,MEM,PF,27,5,7
Nov 18,K. Johnson,SA,SF,22,3,1
Nov 18,J. Butler,MIA,SF,25,3,2
Nov 18,D. DeRozan,CHI,SG,23,4,4
Nov 18,S. Gilgeous-Alexander,OKC,SG,40,6,6
Nov 18,A. Wiggins,GS,SF,31,1,3
Nov 17,D. Lillard,MIL,PG,27,5,5
Nov 17,L. Ball,CHA,PG,37,5,5
Nov 17,J. Brunson,NY,PG,32,7,7
Nov 17,K. Kuzma,WAS,PF,19,4,5
Nov 17,J. Brown,BOS,SF,23,3,4
Nov 17,P. Siakam,TOR,PF,23,6,5
Nov 17,C. Cunningham,DET,SG,20,5,8
Nov 17,D. Garland,CLE,PG,28,3,3
Nov 17,J. Embiid,PHI,C,32,7,8
Nov 17,T. Young,ATL,PG,22,2,13
Nov 17,D. Fox,SAC,PG,43,8,7
Nov 17,Z. Collins,SA,C,28,8,5
Nov 17,N. Jokic,DEN,C,26,16,18
Nov 17,Z. Williamson,NO,PF,26,4,6
Nov 17,F. Wagner,ORL,PF,21,4,2
Nov 17,Z. LaVine,CHI,SG,34,6,3
Nov 17,L. James,LAL,SF,35,5,9
Nov 17,J. Grant,POR,PF,24,4,3
Nov 17,K. Durant,PHO,PF,38,9,9
Nov 17,J. Clarkson,UTA,PG,37,3,5
Nov 17,A. Sengun,HOU,C,23,8,4
Nov 17,K. Leonard,LAC,SF,26,8,2
Nov 16,L. Walker IV,BKN,SG,23,3,1
Nov 16,J. Butler,MIA,SF,36,5,3
Nov 16,S. Gilgeous-Alexander,OKC,SG,24,2,7
Nov 16,J. Kuminga,GS,PF,21,6,2
Nov 15,T. Hardaway Jr.,DAL,SG,31,4,3
Nov 15,K. Kuzma,WAS,PF,22,6,3
Nov 15,J. Tatum,BOS,PF,29,8,6
Nov 15,T. Maxey,PHI,PG,20,3,5
Nov 15,D. Lillard,MIL,PG,37,4,13
Nov 15,S. Barnes,TOR,SF,29,9,7
Nov 15,J. Randle,NY,PF,29,10,8
Nov 15,B. Bogdanovic,ATL,SG,28,3,3
Nov 15,P. Banchero,ORL,PF,17,9,3
Nov 15,Z. LaVine,CHI,SG,19,6,3
Nov 15,K. Towns,MIN,C,25,7,2
Nov 15,D. Booker,PHO,SG,31,4,5
Nov 15,D. Mitchell,CLE,SG,34,6,4
Nov 15,J. Grant,POR,PF,17,3,2
Nov 15,D. Sabonis,SAC,C,29,16,7
Nov 15,D. Russell,LAL,PG,28,5,5
Nov 14,D. Murray,ATL,PG,32,5,9
Nov 14,M. Bagley III,DET,C,22,10,1
Nov 14,T. Haliburton,IND,PG,33,7,15
Nov 14,J. Embiid,PHI,C,39,12,6
Nov 14,J. Butler,MIA,SF,32,4,5
Nov 14,P. Washington,CHA,PF,32,6,1
Nov 14,F. Wagner,ORL,PF,21,8,5
Nov 14,S. Dinwiddie,BKN,PG,29,5,8
Nov 14,J. Champagnie,SA,SF,13,3,3
Nov 14,S. Gilgeous-Alexander,OKC,SG,28,6,5
Nov 14,T. Hardaway Jr.,DAL,SG,17,1,5
Nov 14,J. Hawkins,NO,SG,25,6,3
Nov 14,J. Grant,POR,PF,26,2,1
Nov 14,J. Clarkson,UTA,PG,30,1,3
Nov 14,P. George,LAC,SF,35,7,3
Nov 14,N. Jokic,DEN,C,32,16,9
Nov 14,K. Towns,MIN,C,33,11,2
Nov 14,B. Podziemski,GS,SG,23,7,5
Nov 14,S. Aldama,MEM,PF,24,5,4
Nov 14,D. Russell,LAL,PG,24,3,5
